official_scenic_id,scenic_name,review_n,issue_review_n,issue_review_share,staff_service_n,staff_service_share,service_process_n,service_process_share,guide_explanation_n,guide_explanation_share,queue_wait_n,queue_wait_share,reservation_entry_n,reservation_entry_share,ticket_price_n,ticket_price_share,traffic_access_n,traffic_access_share,facility_hygiene_n,facility_hygiene_share,crowding_n,crowding_share,commercialization_n,commercialization_share,platform_transaction_n,platform_transaction_share
BJ20_01,故宫博物院,300,32,0.106667,2,0.006667,2,0.006667,9,0.03,9,0.03,4,0.013333,2,0.006667,4,0.013333,1,0.003333,9,0.03,2,0.006667,2,0.006667
BJ20_02,颐和园,300,30,0.1,2,0.006667,3,0.01,9,0.03,1,0.003333,5,0.016667,7,0.023333,3,0.01,0,0.0,6,0.02,0,0.0,6,0.02
BJ20_03,天坛公园,300,59,0.196667,2,0.006667,1,0.003333,4,0.013333,5,0.016667,9,0.03,11,0.036667,1,0.003333,1,0.003333,30,0.1,2,0.006667,11,0.036667
BJ20_04,景山公园,300,27,0.09,3,0.01,0,0.0,4,0.013333,2,0.006667,6,0.02,8,0.026667,2,0.006667,0,0.0,8,0.026667,0,0.0,8,0.026667
BJ20_05,恭王府,300,41,0.136667,4,0.013333,0,0.0,5,0.016667,2,0.006667,6,0.02,5,0.016667,1,0.003333,4,0.013333,22,0.073333,5,0.016667,1,0.003333
BJ20_06,明十三陵,300,59,0.196667,3,0.01,2,0.006667,6,0.02,0,0.0,3,0.01,22,0.073333,28,0.093333,2,0.006667,2,0.006667,5,0.016667,2,0.006667
BJ20_07,八达岭长城,300,63,0.21,5,0.016667,4,0.013333,1,0.003333,17,0.056667,4,0.013333,9,0.03,10,0.033333,1,0.003333,29,0.096667,5,0.016667,3,0.01
BJ20_08,慕田峪长城,300,63,0.21,4,0.013333,6,0.02,7,0.023333,23,0.076667,5,0.016667,8,0.026667,12,0.04,1,0.003333,15,0.05,9,0.03,2,0.006667
BJ20_09,居庸关长城,300,23,0.076667,6,0.02,2,0.006667,0,0.0,0,0.0,2,0.006667,1,0.003333,11,0.036667,3,0.01,3,0.01,1,0.003333,1,0.003333
BJ20_10,司马台长城,300,43,0.143333,8,0.026667,6,0.02,0,0.0,7,0.023333,9,0.03,19,0.063333,6,0.02,1,0.003333,5,0.016667,0,0.0,3,0.01
BJ20_11,潭柘寺,300,38,0.126667,0,0.0,1,0.003333,1,0.003333,3,0.01,0,0.0,7,0.023333,19,0.063333,1,0.003333,12,0.04,6,0.02,1,0.003333
BJ20_12,红螺寺,300,18,0.06,2,0.006667,3,0.01,0,0.0,3,0.01,0,0.0,4,0.013333,1,0.003333,0,0.0,3,0.01,2,0.006667,2,0.006667
BJ20_13,首都博物馆,300,11,0.036667,2,0.006667,2,0.006667,5,0.016667,0,0.0,3,0.01,2,0.006667,0,0.0,0,0.0,2,0.006667,0,0.0,1,0.003333
BJ20_14,北京天文馆,300,67,0.223333,6,0.02,9,0.03,37,0.123333,4,0.013333,3,0.01,21,0.07,2,0.006667,1,0.003333,12,0.04,2,0.006667,11,0.036667
BJ20_15,中国科学技术馆,300,65,0.216667,7,0.023333,8,0.026667,24,0.08,4,0.013333,9,0.03,17,0.056667,1,0.003333,3,0.01,16,0.053333,2,0.006667,13,0.043333
BJ20_16,香山公园,300,39,0.13,1,0.003333,1,0.003333,0,0.0,6,0.02,3,0.01,5,0.016667,12,0.04,1,0.003333,18,0.06,2,0.006667,1,0.003333
BJ20_17,北京动物园,300,75,0.25,4,0.013333,0,0.0,4,0.013333,32,0.106667,2,0.006667,18,0.06,0,0.0,17,0.056667,22,0.073333,1,0.003333,0,0.0
BJ20_18,玉渊潭公园,300,26,0.086667,1,0.003333,1,0.003333,0,0.0,1,0.003333,2,0.006667,3,0.01,5,0.016667,0,0.0,17,0.056667,2,0.006667,1,0.003333
BJ20_19,国家游泳中心,300,49,0.163333,6,0.02,3,0.01,0,0.0,1,0.003333,6,0.02,23,0.076667,4,0.013333,6,0.02,2,0.006667,11,0.036667,2,0.006667
BJ20_20,奥林匹克塔,300,64,0.213333,8,0.026667,3,0.01,1,0.003333,5,0.016667,3,0.01,44,0.146667,0,0.0,8,0.026667,4,0.013333,2,0.006667,2,0.006667
