official_scenic_id,scenic_name,category_name,radius_m,poi_category,poi_count,nearest_distance_m
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,1000,transport,73,254.94
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,1000,parking,18,111.65
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,1000,food_retail,55,160.61
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,1000,lodging,4,335.81
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,1000,commercial,3,856.32
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,1000,public_service,19,198.74
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,1000,nearby_attractions,7,292.67
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,2000,transport,343,254.94
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,2000,parking,90,111.65
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,2000,food_retail,254,160.61
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,2000,lodging,34,335.81
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,2000,commercial,8,856.32
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,2000,public_service,95,198.74
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,2000,nearby_attractions,11,292.67
