official_scenic_id,scenic_name,category_name,has_boundary_polygon,boundary_status,scenic_area_m2,scenic_area_km2
BJ20_01,故宫博物院,皇家文化类,0,no_polygon_source,,
BJ20_02,颐和园,皇家文化类,1,way_polygon,2997043.12,2.997043
BJ20_03,天坛公园,皇家文化类,1,way_polygon,1966181.79,1.966182
BJ20_04,景山公园,皇家文化类,1,way_polygon,222221.77,0.222222
BJ20_05,恭王府,皇家文化类,1,way_polygon,54739.09,0.054739
BJ20_06,明十三陵,皇家文化类,1,way_polygon,187156.47,0.187156
BJ20_07,八达岭长城,长城关隘类,0,no_polygon_source,,
BJ20_08,慕田峪长城,长城关隘类,1,way_polygon,83996.57,0.083997
BJ20_09,居庸关长城,长城关隘类,1,way_polygon,213756.12,0.213756
BJ20_10,司马台长城,长城关隘类,1,way_polygon,171901.38,0.171901
BJ20_11,潭柘寺,宗教古建类,1,way_polygon,163654.25,0.163654
BJ20_12,红螺寺,宗教古建类,1,way_polygon,6768.35,0.006768
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,1,way_polygon,15031.52,0.015032
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,1,way_polygon,4754.17,0.004754
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,1,way_polygon,28236.92,0.028237
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,1,relation_polygon,1552712.34,1.552712
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,1,way_polygon,730101.93,0.730102
BJ20_18,玉渊潭公园,城市公园 / 园林 / 动植物观赏类,1,way_polygon,1083063.22,1.083063
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,1,way_polygon,32366.48,0.032366
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,0,no_polygon_source,,
