official_scenic_id,scenic_name,category_name,transport_count_1000m,nearest_transport_dist_m_1000m,parking_count_1000m,nearest_parking_dist_m_1000m,food_retail_count_1000m,nearest_food_retail_dist_m_1000m,lodging_count_1000m,nearest_lodging_dist_m_1000m,commercial_count_1000m,nearest_commercial_dist_m_1000m,public_service_count_1000m,nearest_public_service_dist_m_1000m,nearby_attractions_count_1000m,nearest_nearby_attractions_dist_m_1000m,poi_diversity_1000m,transport_count_2000m,nearest_transport_dist_m_2000m,parking_count_2000m,nearest_parking_dist_m_2000m,food_retail_count_2000m,nearest_food_retail_dist_m_2000m,lodging_count_2000m,nearest_lodging_dist_m_2000m,commercial_count_2000m,nearest_commercial_dist_m_2000m,public_service_count_2000m,nearest_public_service_dist_m_2000m,nearby_attractions_count_2000m,nearest_nearby_attractions_dist_m_2000m,poi_diversity_2000m
BJ20_01,故宫博物院,皇家文化类,53,494.03,9,369.51,41,75.29,10,630.25,12,86.25,48,76.17,24,113.95,7,377,494.03,31,369.51,250,75.29,69,630.25,29,86.25,136,76.17,59,113.95,7
BJ20_02,颐和园,皇家文化类,15,852.37,4,770.69,8,706.09,0,,1,456.74,10,410.21,9,595.1,6,123,852.37,20,770.69,33,706.09,1,1303.05,6,456.74,30,410.21,32,595.1,7
BJ20_03,天坛公园,皇家文化类,66,773.07,11,706.44,12,363.29,5,843.65,4,367.86,21,17.41,17,116.54,7,398,773.07,33,706.44,104,363.29,41,843.65,12,367.86,66,17.41,27,116.54,7
BJ20_04,景山公园,皇家文化类,80,245.49,8,250.41,63,196.29,7,406.57,9,509.9,36,147.77,26,117.49,7,346,245.49,33,250.41,354,196.29,77,406.57,27,509.9,180,147.77,65,117.49,7
BJ20_05,恭王府,皇家文化类,63,370.91,14,132.36,114,100.1,5,516.02,5,561.17,34,402.24,17,178.8,7,446,370.91,47,132.36,338,100.1,59,516.02,17,561.17,138,402.24,47,178.8,7
BJ20_06,明十三陵,皇家文化类,16,106.48,2,748.78,0,,0,,0,,1,369.26,5,380.71,4,56,106.48,4,748.78,3,1321.58,0,,0,,3,369.26,6,380.71,5
BJ20_07,八达岭长城,长城关隘类,21,40.43,2,274.92,23,323.08,5,334.46,9,544.87,16,98.68,13,424.44,7,42,40.43,17,274.92,29,323.08,12,334.46,13,544.87,28,98.68,47,424.44,7
BJ20_08,慕田峪长城,长城关隘类,3,409.41,5,590.4,7,17.6,1,982.11,1,263.44,17,14.95,10,241.44,7,14,409.41,7,590.4,8,17.6,2,982.11,1,263.44,18,14.95,19,241.44,7
BJ20_09,居庸关长城,长城关隘类,5,783.56,4,683.21,4,704.6,2,750.51,5,457.26,12,128.68,21,596.15,7,28,783.56,4,683.21,4,704.6,2,750.51,5,457.26,13,128.68,25,596.15,7
BJ20_10,司马台长城,长城关隘类,0,,0,,0,,2,636.36,0,,1,318.86,1,997.0,3,1,1105.83,0,,4,1597.8,6,636.36,1,1157.62,5,318.86,6,997.0,6
BJ20_11,潭柘寺,宗教古建类,7,591.16,3,269.93,0,,0,,0,,3,138.82,1,585.0,4,25,591.16,5,269.93,2,1211.79,4,1180.98,0,,4,138.82,9,585.0,6
BJ20_12,红螺寺,宗教古建类,12,505.58,8,173.15,2,318.83,1,443.74,1,271.08,3,236.99,0,,6,28,505.58,10,173.15,2,318.83,1,443.74,1,271.08,6,236.99,3,1688.99,7
BJ20_13,首都博物馆,博物馆 / 纪念馆 / 科普场馆类,144,107.59,0,,14,264.78,3,342.13,0,,8,164.05,0,,4,491,107.59,33,1058.49,56,264.78,23,342.13,5,1388.11,45,164.05,2,1567.61,7
BJ20_14,北京天文馆,博物馆 / 纪念馆 / 科普场馆类,160,108.22,15,77.16,31,387.71,9,289.87,5,540.08,29,302.85,8,62.92,7,549,108.22,44,77.16,130,387.71,27,289.87,11,540.08,89,302.85,19,62.92,7
BJ20_15,中国科学技术馆,博物馆 / 纪念馆 / 科普场馆类,87,290.92,13,132.98,106,232.69,8,342.87,6,531.59,42,207.47,4,235.49,7,267,290.92,83,132.98,253,232.69,36,342.87,7,531.59,116,207.47,18,235.49,7
BJ20_16,香山公园,城市公园 / 园林 / 动植物观赏类,6,394.44,8,711.99,13,139.47,1,624.91,2,754.28,19,206.12,16,155.67,7,20,394.44,18,711.99,18,139.47,2,624.91,2,754.28,42,206.12,30,155.67,7
BJ20_17,北京动物园,城市公园 / 园林 / 动植物观赏类,142,393.66,20,412.74,41,21.31,7,246.71,5,820.51,25,8.45,8,81.77,7,487,393.66,44,412.74,126,21.31,26,246.71,11,820.51,88,8.45,19,81.77,7
BJ20_18,玉渊潭公园,城市公园 / 园林 / 动植物观赏类,54,665.81,4,325.73,4,818.15,2,751.32,0,,6,311.67,1,901.26,6,451,665.81,17,325.73,59,818.15,20,751.32,5,1296.15,36,311.67,4,901.26,7
BJ20_19,国家游泳中心,现代城市地标与事件遗产类,73,254.94,18,111.65,55,160.61,4,335.81,3,856.32,19,198.74,7,292.67,7,343,254.94,90,111.65,254,160.61,34,335.81,8,856.32,95,198.74,11,292.67,7
BJ20_20,奥林匹克塔,现代城市地标与事件遗产类,74,302.39,13,222.62,64,291.45,9,110.75,4,620.14,41,364.64,3,364.31,7,231,302.39,82,222.62,232,291.45,33,110.75,7,620.14,112,364.64,16,364.31,7
