experiment_name,slot_rank,category_name,requested_name,selected_name,selected_from,source_file_name,scenic_name,source_total_raw_n,valid_time_rating_n,after_short_text_filter_n,available_after_lda_filter_n,sample_target_n,sample_actual_n,sample_rule,is_full_300,min_review_time,max_review_time,mean_token_count,rating_bucket_dist_before_sample,rating_bucket_dist_sampled
experiment2_lda_ready,1,皇家文化类,故宫博物院,故宫博物院,primary,故宫博物院.csv,故宫博物院,2896,2896,2768,2060,300,300,rating_stratified_time_sorted_evenly_spaced,1,2026-02-17,2026-04-21,15.69,1:40|2:13|3:49|4:121|5:1837,1:6|2:2|3:7|4:18|5:267
experiment2_lda_ready,2,皇家文化类,颐和园,颐和园,primary,颐和园.csv,颐和园,2719,2719,2530,1601,300,300,rating_stratified_time_sorted_evenly_spaced,1,2024-10-14,2026-04-21,23.24,1:51|2:15|3:46|4:159|5:1330,1:9|2:3|3:9|4:30|5:249
experiment2_lda_ready,3,皇家文化类,天坛公园,天坛公园,primary,天坛公园.csv,天坛公园,2749,2749,2478,1232,300,300,rating_stratified_time_sorted_evenly_spaced,1,2025-02-24,2026-04-21,17.41,1:30|2:11|3:56|4:210|5:925,1:7|2:3|3:14|4:51|5:225
experiment2_lda_ready,4,皇家文化类,圆明园遗址公园,景山公园,fallback,景山公园.csv,景山公园,2651,2651,2586,1873,300,300,rating_stratified_time_sorted_evenly_spaced,1,2016-05-09,2026-04-16,14.76,1:88|2:12|3:37|4:171|5:1565,1:14|2:2|3:6|4:27|5:251
experiment2_lda_ready,5,皇家文化类,恭王府,恭王府,primary,恭王府.csv,恭王府,2806,2806,2505,799,300,300,rating_stratified_time_sorted_evenly_spaced,1,2025-10-29,2026-04-21,13.74,1:7|2:8|3:38|4:115|5:631,1:3|2:3|3:14|4:43|5:237
experiment2_lda_ready,6,皇家文化类,明十三陵,明十三陵,primary,明十三陵.csv,明十三陵,2676,2676,2384,1034,300,300,rating_stratified_time_sorted_evenly_spaced,1,2022-01-30,2026-04-21,17.66,1:38|2:9|3:80|4:174|5:733,1:11|2:3|3:23|4:50|5:213
experiment2_lda_ready,7,长城关隘类,八达岭长城风景名胜区,八达岭长城,primary,八达岭长城风景名胜区.csv,八达岭长城,2810,2810,2525,1117,300,300,rating_stratified_time_sorted_evenly_spaced,1,2025-11-28,2026-04-21,14.31,1:37|2:14|3:52|4:167|5:847,1:10|2:4|3:14|4:45|5:227
experiment2_lda_ready,8,长城关隘类,慕田峪长城,慕田峪长城,primary,慕田峪长城.csv,慕田峪长城,2781,2781,2509,1343,300,300,rating_stratified_time_sorted_evenly_spaced,1,2025-10-29,2026-04-21,14.89,1:19|2:14|3:41|4:182|5:1087,1:4|2:3|3:9|4:41|5:243
experiment2_lda_ready,9,长城关隘类,居庸关长城,居庸关长城,primary,居庸关长城.csv,居庸关长城,2797,2797,2575,1265,300,300,rating_stratified_time_sorted_evenly_spaced,1,2016-05-05,2026-04-20,14.28,1:9|2:6|3:29|4:184|5:1037,1:2|2:1|3:7|4:44|5:246
experiment2_lda_ready,10,长城关隘类,司马台长城景区,司马台长城,primary,司马台长城景区.csv,司马台长城,834,834,775,511,300,300,rating_stratified_time_sorted_evenly_spaced,1,2018-01-28,2026-04-21,15.56,1:18|2:5|3:32|4:83|5:373,1:10|2:3|3:19|4:49|5:219
experiment2_lda_ready,11,宗教古建类,潭柘寺,潭柘寺,primary,潭柘寺.csv,潭柘寺,2026,2026,1849,928,300,300,rating_stratified_time_sorted_evenly_spaced,1,2019-04-24,2026-04-21,16.52,1:15|2:6|3:14|4:127|5:766,1:5|2:2|3:4|4:41|5:248
experiment2_lda_ready,12,宗教古建类,红螺寺,红螺寺,primary,红螺寺.csv,红螺寺,2044,2044,1890,1041,300,300,rating_stratified_time_sorted_evenly_spaced,1,2016-05-21,2026-04-21,16.4,1:11|2:3|3:16|4:148|5:863,1:3|2:1|3:4|4:43|5:249
experiment2_lda_ready,13,博物馆 / 纪念馆 / 科普场馆类,首都博物馆,首都博物馆,primary,首都博物馆.csv,首都博物馆,526,526,519,391,300,300,rating_stratified_time_sorted_evenly_spaced,1,2018-01-25,2026-03-12,16.28,1:6|2:1|3:6|4:35|5:343,1:5|2:1|3:4|4:27|5:263
experiment2_lda_ready,14,博物馆 / 纪念馆 / 科普场馆类,北京天文馆,北京天文馆,primary,北京天文馆.csv,北京天文馆,991,991,952,641,300,300,rating_stratified_time_sorted_evenly_spaced,1,2016-05-07,2026-04-02,14.86,1:58|2:13|3:34|4:73|5:463,1:27|2:6|3:16|4:34|5:217
experiment2_lda_ready,15,博物馆 / 纪念馆 / 科普场馆类,中国航空博物馆,中国科学技术馆,fallback,中国科学技术馆.csv,中国科学技术馆,2917,2917,2770,1696,300,300,rating_stratified_time_sorted_evenly_spaced,1,2020-05-23,2026-04-18,13.25,1:150|2:41|3:83|4:117|5:1305,1:26|2:7|3:15|4:21|5:231
experiment2_lda_ready,16,城市公园 / 园林 / 动植物观赏类,香山公园,香山公园,primary,香山公园.csv,香山公园,2863,2863,2624,1454,300,300,rating_stratified_time_sorted_evenly_spaced,1,2020-11-18,2026-04-11,42.08,1:17|2:10|3:66|4:169|5:1192,1:3|2:2|3:14|4:35|5:246
experiment2_lda_ready,17,城市公园 / 园林 / 动植物观赏类,北京动物园,北京动物园,primary,北京动物园.csv,北京动物园,2701,2701,2467,1276,300,300,rating_stratified_time_sorted_evenly_spaced,1,2024-04-23,2026-04-21,19.79,1:55|2:40|3:112|4:209|5:860,1:13|2:10|3:26|4:49|5:202
experiment2_lda_ready,18,城市公园 / 园林 / 动植物观赏类,玉渊潭公园,玉渊潭公园,primary,玉渊潭公园.csv,玉渊潭公园,750,750,743,606,300,300,rating_stratified_time_sorted_evenly_spaced,1,2016-05-13,2026-04-10,21.98,1:6|2:1|3:17|4:98|5:484,1:3|2:1|3:8|4:49|5:239
experiment2_lda_ready,19,现代城市地标与事件遗产类,北京市奥林匹克公园,国家游泳中心,fallback,国家游泳中心.csv,国家游泳中心,864,864,789,452,300,300,rating_stratified_time_sorted_evenly_spaced,1,2016-06-12,2026-04-13,16.01,1:32|2:8|3:32|4:76|5:304,1:21|2:5|3:21|4:51|5:202
experiment2_lda_ready,20,现代城市地标与事件遗产类,北京（通州）大运河文化旅游景区,奥林匹克塔,fallback,奥林匹克塔.csv,奥林匹克塔,634,634,584,348,300,300,rating_stratified_time_sorted_evenly_spaced,1,2018-01-26,2026-04-21,14.01,1:13|2:6|3:30|4:65|5:234,1:11|2:5|3:26|4:56|5:202
