official_scenic_id,scenic_name,review_n,avg_rating,avg_default_score,avg_domain_score,positive_share,neutral_share,negative_share,avg_sentiment_index,high_rating_negative_rate,high_rating_no_issue_negative_rate
BJ20_17,北京动物园,300,4.39,0.8356035129580227,0.4532734987285998,0.33666666666666667,0.24,0.42333333333333334,0.45666666666666667,0.33067729083665337,0.22705314009661837
BJ20_08,慕田峪长城,300,4.72,0.7558470150762879,0.5060281428519455,0.36333333333333334,0.31,0.32666666666666666,0.5183333333333333,0.29225352112676056,0.2033898305084746
BJ20_07,八达岭长城,300,4.583333333333333,0.7608799759357647,0.5518605344530028,0.4166666666666667,0.2733333333333333,0.31,0.5533333333333333,0.25,0.19742489270386265
BJ20_14,北京天文馆,300,4.36,0.885682018300923,0.5827958855187089,0.4866666666666667,0.2,0.31333333333333335,0.5866666666666667,0.1952191235059761,0.14912280701754385
BJ20_06,明十三陵,300,4.503333333333333,0.7983531397965629,0.5767773247235546,0.49,0.19666666666666666,0.31333333333333335,0.5883333333333334,0.23574144486692014,0.18777292576419213
BJ20_15,中国科学技术馆,300,4.413333333333333,0.8595595080062367,0.601663057683717,0.51,0.19666666666666666,0.29333333333333333,0.6083333333333333,0.1626984126984127,0.11304347826086956
BJ20_19,国家游泳中心,300,4.36,0.7488518052230448,0.6186118079318592,0.55,0.16,0.29,0.63,0.18181818181818182,0.13733905579399142
BJ20_10,司马台长城,300,4.546666666666667,0.7964762002118747,0.6363475811274885,0.5433333333333333,0.21666666666666667,0.24,0.6516666666666666,0.1791044776119403,0.13414634146341464
BJ20_03,天坛公园,300,4.613333333333333,0.8145633191643501,0.6641557567631124,0.5566666666666666,0.22,0.22333333333333333,0.6666666666666666,0.17753623188405798,0.15319148936170213
BJ20_09,居庸关长城,300,4.77,0.7666587000248666,0.6562854503126009,0.54,0.25333333333333335,0.20666666666666667,0.6666666666666666,0.18275862068965518,0.15636363636363637
BJ20_20,奥林匹克塔,300,4.443333333333333,0.8343882085659022,0.6732015407882835,0.6066666666666667,0.15333333333333332,0.24,0.6833333333333333,0.13178294573643412,0.08370044052863436
BJ20_16,香山公园,300,4.73,0.861502256931621,0.7694101099170605,0.7033333333333334,0.12333333333333334,0.17333333333333334,0.765,0.14590747330960854,0.12301587301587301
BJ20_05,恭王府,300,4.693333333333333,0.8723489880368899,0.7710838718816193,0.6933333333333334,0.18,0.12666666666666668,0.7833333333333333,0.09285714285714286,0.06854838709677419
BJ20_01,故宫博物院,300,4.793333333333333,0.9039825091801356,0.7968988692327997,0.75,0.11666666666666667,0.13333333333333333,0.8083333333333333,0.0912280701754386,0.06766917293233082
BJ20_12,红螺寺,300,4.78,0.8640479658329777,0.8036872575053761,0.7233333333333334,0.17333333333333334,0.10333333333333333,0.81,0.08904109589041095,0.06810035842293907
BJ20_02,颐和园,300,4.69,0.8741782153542705,0.8270519055694617,0.7733333333333333,0.11,0.11666666666666667,0.8283333333333334,0.05734767025089606,0.033962264150943396
BJ20_11,潭柘寺,300,4.75,0.8503796138578836,0.8266248371216519,0.77,0.12,0.11,0.83,0.08304498269896193,0.05019305019305019
BJ20_04,景山公园,300,4.663333333333333,0.8818986573917565,0.8474465317475398,0.81,0.07333333333333333,0.11666666666666667,0.8466666666666667,0.06115107913669065,0.052434456928838954
BJ20_13,首都博物馆,300,4.806666666666667,0.9168073885871861,0.8444940661781739,0.79,0.13333333333333333,0.07666666666666666,0.8566666666666667,0.05517241379310345,0.04912280701754386
BJ20_18,玉渊潭公园,300,4.733333333333333,0.9183070665331783,0.9033818177146162,0.8633333333333333,0.07,0.06666666666666667,0.8983333333333333,0.041666666666666664,0.03731343283582089
