official_scenic_id,scenic_name,priority_score,issue_review_rate_hybrid,issue_divergence_rate,high_rating_with_issue_rate,negative_sentiment_rate,avg_sentiment_index,theme_issue_share__交通与开放空间体验,theme_issue_share__现场服务与导览体验,theme_issue_share__票务预约与入园体验,cluster_id,pca_x,pca_y,cluster_name
BJ20_10,司马台长城,0.47780273548173924,0.14333333333333334,0.07333333333333333,0.08208955223880597,0.24,0.6516666666666666,0.0033333333333333335,0.0,0.06333333333333334,1,-0.04827440230053255,-0.24101504995071038,结构性优化型
BJ20_05,恭王府,0.4502983599142941,0.13666666666666666,0.10666666666666667,0.11428571428571428,0.12666666666666668,0.7833333333333333,0.006666666666666667,0.016666666666666666,0.05,1,-0.36300473429621866,-0.5151790396890162,结构性优化型
BJ20_16,香山公园,0.411213889582588,0.13,0.09666666666666666,0.10320284697508897,0.17333333333333334,0.765,0.0,0.0033333333333333335,0.05333333333333334,1,-0.5759369638251447,-0.8649197667855345,结构性优化型
BJ20_11,潭柘寺,0.3741165921913134,0.12666666666666668,0.1,0.10380622837370242,0.11,0.83,0.0033333333333333335,0.0,0.08666666666666667,1,-0.7343640900477516,-1.1420289298168218,结构性优化型
BJ20_01,故宫博物院,0.30657819686827864,0.10666666666666667,0.06333333333333334,0.06666666666666667,0.13333333333333333,0.8083333333333333,0.0,0.02,0.03666666666666667,1,-1.9287134573678772,0.07808089781576066,结构性优化型
BJ20_02,颐和园,0.252515077354387,0.1,0.04666666666666667,0.05017921146953405,0.11666666666666667,0.8283333333333334,0.0033333333333333335,0.02,0.05,1,-2.3276978122891236,0.36597742041222603,结构性优化型
BJ20_18,玉渊潭公园,0.23956759029248686,0.08666666666666667,0.06666666666666667,0.06944444444444445,0.06666666666666667,0.8983333333333333,0.0,0.0033333333333333335,0.05,1,-2.5890709078481895,-0.7938237297697579,结构性优化型
BJ20_04,景山公园,0.2099526283541598,0.09,0.03666666666666667,0.039568345323741004,0.11666666666666667,0.8466666666666667,0.0033333333333333335,0.006666666666666667,0.056666666666666664,1,-2.701786867828091,0.05707058425681119,结构性优化型
BJ20_09,居庸关长城,0.18354208567895994,0.07666666666666666,0.05,0.05172413793103448,0.20666666666666667,0.6666666666666666,0.0,0.0,0.02,1,-2.1188612274264877,-0.07760076839067134,结构性优化型
BJ20_12,红螺寺,0.1298617499432307,0.06,0.043333333333333335,0.04452054794520548,0.10333333333333333,0.81,0.006666666666666667,0.0,0.02666666666666667,1,-3.094847466086986,-0.18344862898737413,结构性优化型
BJ20_13,首都博物馆,0.04759689922480621,0.03666666666666667,0.016666666666666666,0.017241379310344827,0.07666666666666666,0.8566666666666667,0.0,0.016666666666666666,0.016666666666666666,1,-4.284220283122559,0.4584690651899225,结构性优化型
BJ20_08,慕田峪长城,0.7838707017692437,0.21,0.16,0.16901408450704225,0.32666666666666666,0.5183333333333333,0.0,0.0033333333333333335,0.09333333333333334,0,3.4732100406600868,-1.217007119334404,高压力治理型
BJ20_17,北京动物园,0.7837172388335178,0.25,0.14666666666666667,0.1752988047808765,0.42333333333333334,0.45666666666666667,0.0,0.013333333333333334,0.2,0,5.134331829447151,-0.5415862840571526,高压力治理型
BJ20_07,八达岭长城,0.6832780862590125,0.21,0.13,0.14338235294117646,0.31,0.5533333333333333,0.0033333333333333335,0.006666666666666667,0.07333333333333333,0,2.50867885267081,-0.596412016732736,高压力治理型
BJ20_03,天坛公园,0.669722760376873,0.19666666666666666,0.13666666666666666,0.14855072463768115,0.22333333333333333,0.6666666666666666,0.01,0.0033333333333333335,0.10333333333333333,0,2.2025728046609263,-0.9711205147541795,高压力治理型
BJ20_15,中国科学技术馆,0.5904719404943588,0.21666666666666667,0.07333333333333333,0.0873015873015873,0.29333333333333333,0.6083333333333333,0.006666666666666667,0.08666666666666667,0.07333333333333333,0,1.4329048536706768,2.9263331122385012,高压力治理型
BJ20_20,奥林匹克塔,0.5774219811442663,0.21333333333333335,0.10333333333333333,0.12015503875968993,0.24,0.6833333333333333,0.013333333333333334,0.0033333333333333335,0.06,0,1.279487646117405,-0.25913594789041355,高压力治理型
BJ20_06,明十三陵,0.5624100961997208,0.19666666666666666,0.11333333333333333,0.12927756653992395,0.31333333333333335,0.5883333333333334,0.006666666666666667,0.016666666666666666,0.13666666666666666,0,2.442689393461848,-0.03125476363343545,高压力治理型
BJ20_14,北京天文馆,0.5505443682582035,0.22333333333333333,0.07666666666666666,0.09163346613545817,0.31333333333333335,0.5866666666666667,0.0033333333333333335,0.09333333333333334,0.09666666666666666,0,1.766348283048617,3.054508025181322,高压力治理型
BJ20_19,国家游泳中心,0.42109400294626337,0.16333333333333333,0.06666666666666667,0.07905138339920949,0.29,0.63,0.016666666666666666,0.0033333333333333335,0.08,0,0.5265545087014394,0.4940934546976634,高压力治理型
