term,coef,std_error_hac,z_value,p_value,signif
const,0.12505298150919797,0.049148283067987096,2.5444018326380085,0.010946507597612287,**
log_ticket_lag1,0.39517975667890143,0.03600339015000418,10.976181827112066,0.0,***
log_zoo_lag1,0.3912567302545333,0.0387507262827714,10.096758636198421,0.0,***
log_ticket_lag2,0.11978688354271642,0.03601792385026505,3.325757587824844,0.0008817858121212829,***
log_zoo_lag2,-0.07911559528955465,0.04012509597569692,-1.971723515315044,0.048641177698914184,**
log_ticket_lag3,0.06200701802470309,0.03462984497499005,1.7905658564017557,0.07336299025774906,*
log_zoo_lag3,-0.06630423159764871,0.038585464163253466,-1.7183733054789316,0.08572854619830794,*
log_ticket_lag4,0.048218199063072106,0.033660215093071044,1.43249824547312,0.15200127987829637,
log_zoo_lag4,-0.033254929996110565,0.03369127761224082,-0.9870486473931841,0.32361879064558075,
log_ticket_lag5,0.01342031346254017,0.02782063364744113,0.48238705245214775,0.6295310170827226,
log_zoo_lag5,0.004656037698245103,0.03255561544862582,0.1430179597001486,0.8862759972120176,
log_ticket_lag6,0.08680619994025464,0.035400520507061606,2.45211648577141,0.014201867911632693,**
log_zoo_lag6,-0.021938532981613863,0.03323114369472517,-0.6601798957974534,0.5091383920967267,
log_ticket_lag7,0.1276064197050012,0.03356012543199484,3.802322490229625,0.00014334596778176056,***
log_zoo_lag7,0.00040782108541349935,0.03702771334621008,0.01101394195208226,0.991212323430873,
log_ticket_lag8,0.009929771432793789,0.031009398990102577,0.3202181195437913,0.7488029883941403,
log_zoo_lag8,-0.10337248974918607,0.03466882751819106,-2.981712885875519,0.0028664067986836628,***
log_ticket_lag9,-0.0004960324129031717,0.031746566883772566,-0.015624757622428818,0.9875337543659373,
log_zoo_lag9,-0.03930069729667799,0.03682017795341685,-1.067368477860139,0.2858054769290681,
log_ticket_lag10,-0.027268828581876958,0.031107100439612238,-0.876611069386346,0.38069792469953345,
log_zoo_lag10,0.011374643653928736,0.034097864065123724,0.33358815766888605,0.7386903556734017,
log_ticket_lag11,0.013626911710906074,0.03537172002202195,0.38524877225145243,0.700053111621654,
log_zoo_lag11,-0.0017108333353275708,0.03620780319839292,-0.04725040417264271,0.9623136556335483,
log_ticket_lag12,-0.003378409106474216,0.02967477546829637,-0.11384784057030543,0.9093584138135891,
log_zoo_lag12,-0.015288454952408883,0.035136914644704954,-0.4351109113307652,0.6634819237431715,
log_ticket_lag13,0.07642612904897352,0.028961065125708507,2.6389267355063764,0.008316895274207647,***
log_zoo_lag13,0.001493710908763911,0.03187306632864376,0.046864361695301955,0.9626213321164812,
log_ticket_lag14,0.04685600974968521,0.024535560748286358,1.9097183158105642,0.05616949141769245,*
log_zoo_lag14,-0.042368064355281086,0.027430102297884656,-1.5445828052397899,0.12244720793988595,
