metric_name,case_value,same_category_mean,all_sample_mean,case_overall_percentile
transport_count_1000m,142.0,67.33333333333333,54.05,90.0
parking_count_1000m,20.0,10.666666666666666,8.05,100.0
nearest_transport_dist_m_1000m,393.66,484.6366666666666,404.7610526315789,52.63157894736842
nearest_parking_dist_m_1000m,412.74,483.4866666666667,386.9261111111111,38.88888888888889
food_retail_count_2000m,126.0,67.66666666666667,112.95,65.0
commercial_count_2000m,11.0,6.0,8.4,72.5
nearby_attractions_count_2000m,19.0,17.666666666666668,23.2,55.00000000000001
public_service_count_2000m,88.0,55.333333333333336,62.5,65.0
scenic_area_km2,0.730102,1.1219590000000002,0.5596284705882354,76.47058823529412
internal_poi_share,0.0224159402241594,0.11805274797801213,0.04163793471677228,65.0
internal_service_share,0.04672897196261682,0.1447429906542056,0.113822307443156,64.70588235294117
